id,image_url,street_number,street_name,street_type,apt_number,city,state,zipcode,price,bedrooms,lat,long,walkscore,built,listing_url,neighborhood
86,http://photos1.zillowstatic.com/p_f/ISxbfzx9gveaqg0000000000.jpg,254-256,Brighton,Ave,,San Francisco,CA,94112,4500,3,37.722858,-122.454814,,1965,http://www.zillow.com/homedetails/254-256-Brighton-Ave-San-Francisco-CA-94112/15188045_zpid/,Ingleside
89,http://photos3.zillowstatic.com/p_f/ISxfamfs8lef761000000000.jpg,47,Knollview,Way,,San Francisco,CA,94131,3995,2,37.750004,-122.451327,,1958,http://www.zillow.com/homedetails/47-Knollview-Way-San-Francisco-CA-94131/15132051_zpid/,Midtown Terrace
91,http://photos3.zillowstatic.com/p_f/ISlq2yvz9hb7nl0000000000.jpg,2923,23rd,St,# 2,San Francisco,CA,94110,10675,5,37.754075,-122.410773,,2001,http://www.zillow.com/homedetails/2923-23rd-St-2-San-Francisco-CA-94110/59700633_zpid/,Mission
93,http://photos1.zillowstatic.com/p_f/IS1vk7491d83zz0000000000.jpg,40,Orben,Pl,,San Francisco,CA,94115,5500,2,37.78847,-122.4328,,1978,http://www.zillow.com/homedetails/40-Orben-Pl-San-Francisco-CA-94115/2100552216_zpid/,Lower Pacific Heights
95,http://photos1.zillowstatic.com/p_f/ISxrfuy46i1t3b1000000000.jpg,2143,Pacific,Ave,,San Francisco,CA,94115,7500,3,37.7938,-122.431,,3000,http://www.zillow.com/homedetails/2143-Pacific-Ave-San-Francisco-CA-94115/2128778291_zpid/,Pacific Heights
101,http://photos2.zillowstatic.com/p_f/ISpp8ppvjr8tw50000000000.jpg,1818,Mason,St,,San Francisco,CA,94133,7900,3,37.80047,-122.4125,,3000,http://www.zillow.com/homedetails/1818-Mason-St-San-Francisco-CA-94133/2100722025_zpid/,North Beach
103,http://photos1.zillowstatic.com/p_f/ISxbj6ipo0m3r70000000000.jpg,519,2,Ave,,San Francisco,CA,94121,7995,3,37.778859,-122.460155,,1907,http://www.zillow.com/homedetails/519-521-2ND-Ave-San-Francisco-CA-94118/15094572_zpid/,Inner Richmond
105,http://photos2.zillowstatic.com/p_f/IS5qzqqflyqg0a1000000000.jpg,559,27th,St,APT 1,San Francisco,CA,94131,4300,2,37.74631,-122.4327,,1974,http://www.zillow.com/homedetails/559-27th-St-APT-1-San-Francisco-CA-94131/2112405699_zpid/,Noe Valley
107,http://photos3.zillowstatic.com/p_f/ISxf24wyvxijkp1000000000.jpg,239,Castenada,Ave,,San Francisco,CA,94116,3900,2,37.746826,-122.46247,,1941,http://www.zillow.com/homedetails/239-Castenada-Ave-San-Francisco-CA-94116/15132945_zpid/,Forest Hill
110,http://photos1.zillowstatic.com/p_f/ISliwvngh4cpc70000000000.jpg,1066,Florida,St,,San Francisco,CA,94110,5265,2,37.7549,-122.41,,3000,http://www.zillow.com/homedetails/1066-Florida-St-San-Francisco-CA-94110/2103954117_zpid/,Mission
112,http://photos2.zillowstatic.com/p_f/IShrcr4gkejbjm0000000000.jpg,2786,Filbert,St,,San Francisco,CA,94123,5100,2,37.796981,-122.445392,,1953,http://www.zillow.com/homedetails/2786-Filbert-St-San-Francisco-CA-94123/15080331_zpid/,Cow Hollow
115,http://photos2.zillowstatic.com/p_f/IStg8qcl1ty9wi0000000000.jpg,403,Main,St,APT 112,San Francisco,CA,94105,4400,2,37.78801,-122.3896,,3000,http://www.zillow.com/homedetails/403-Main-St-APT-112-San-Francisco-CA-94105/2120914682_zpid/,South Beach
